S.no,Name of the report,Year,Released Month,Link,Tags,AID,SID,SSID,CDN Report Link,Thumbnail Links- New,,
114,ESG‘s emerging role in Capital Markets,2023,Sept,https://drive.google.com/file/d/1J7CqOBOEa2J0MssLuVdvDLdJXHhAm2PS/view?usp=sharing,"ESG, capital markets, emerging role, market trends, sustainable investing,  environmental social governance, capital investment, market analysis, sustainable trends, ESG impact",1008,4000,4002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/ESG%E2%80%98s%20emerging%20role%20in%20Capital%20Markets.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/114.webp,,
115,Healthcare BPO US Healthcare + Offshoring = Attractive High Margin Scalable Business,2020,June,https://drive.google.com/file/d/12chFw4_zUhI7r_-cOPtFbeIU_AgHUmJQ/view?usp=sharing,"healthcare BPO, US healthcare, offshoring, high margin, scalable business,  healthcare outsourcing, US market, business process outsourcing, high profitability, scalable solutions",1008,20000,20011,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Healthcare%20BPO_%20US%20Healthcare%20+%20Offshoring%20Attractive%20High%20Margin%20Scalable%20Business.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/115.webp,,
116,Study of Healthcare Technology Services,2020,June,https://drive.google.com/file/d/1pcFPR6osGhqC5LgN2RePEHWejwBpMMW7/view?usp=sharing,"healthcare technology, tech services, market analysis, industry trends, digital health, health tech, tech solutions, market insights, digital healthcare, industry analysis",1008,20000,20007,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Study%20of%20Healthcare%20Technology%20Services.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/116.webp,,
117,Data Centres: Powering Digital India,2023,May,https://drive.google.com/file/d/1sd1UVk-73UYkQ9NBGBp3ViTrJiXTjYJ_/view?usp=sharing,"data centres, digital India, tech infrastructure, market growth, industry insights, data centers, digital infrastructure, tech growth, market trends, industry development",1008,15000,15002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Data%20Centres_%20Powering%20Digital%20India.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/117.webp,,
118,Energy transition and clean energy investment in India,2023,March,https://drive.google.com/file/d/1UzFFLZstnJGEI-oT7Zk6X44a9jH2IbiL/view?usp=sharing,"energy transition, clean energy, investment, India market, sustainability trends,  renewable energy, sustainable investment, market growth, green energy, India trends",1008,4000,4003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Energy%20transition%20and%20clean%20energy%20investment%20in%20India.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/118.webp,,
119,Distressed Investments in India  : The Time is Ripe,2018,July,https://drive.google.com/file/d/1UNKaikWX4-x7Bng4xQeewpCdHenaRHSl/view?usp=sharing,"distressed assets, investment opportunities, India market, financial analysis, distressed debt, asset restructuring, investment prospects, market trends",1008,22000,22005,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Distressed%20Investments%20in%20India%20%20_%20The%20Time%20is%20Ripe.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/119.webp,,
120,Circular Economy: Recycling waste to wealth,2023,June,https://drive.google.com/file/d/1iOeyor75cKROieKpCRZzwWtRcsQNn8nO/view?usp=sharing,"circular economy, recycling, waste management, sustainable business, market trends,  eco-friendly business, sustainability, waste to wealth, market insights, recycling industry",1008,4000,4001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Circular%20Economy_%20Recycling%20waste%20to%20wealth.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/120.webp,,
121,Indian Specialty Chemicals Industry - Biggest Beneficiary of the Global Paradigm Shift,2020,Sept,https://drive.google.com/file/d/1xofxutoBQROxKqHcNuneykHj88SqhJSs/view?usp=sharing,"specialty chemicals, Indian market, global shift, industry trends, market analysis, chemical industry, market insights, global trends, specialty chemicals growth, Indian chemicals","1008, 1007",14000,14001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Indian%20Specialty%20Chemicals%20Industry%20-%20Biggest%20Beneficiary%20of%20the%20Global%20Paradigm%20Shift.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/121.webp,,
122,Electric Vehicles: Charging towards a bright future,2020,July,https://drive.google.com/file/d/1SjLSoAnslIKeo-5lnIG2Ihj_NWOzZlZo/view?usp=sharing,"electric vehicles, EV market, sustainable transport, industry growth, market trends EVs, green transport, electric mobility, market insights, industry trends",1008,8000,8002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Electric%20Vehicles_%20Charging%20towards%20a%20bright%20future.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/122.webp,,
123,Specialty Chemicals in India,2018,June,https://drive.google.com/file/d/1xXOVpArhYDw_dcY3cPVJMmym47EaeSBh/view?usp=sharing,"specialty chemicals, Indian market, industry analysis, market trends, chemical growth,  chemical industry, market insights, specialty chemicals growth, Indian chemicals, industry trends",1008,14000,14001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Specialty%20Chemicals%20in%20India.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/123.webp,,
124,Specialty Chemicals : From Opportunity to Reality,2017,Feb,https://drive.google.com/file/d/1rOCE_lPiZb0OlCT2POQfVyzYu-aA-kCj/view?usp=sharing,"specialty chemicals, market opportunity, industry growth, market trends, chemical insights chemical industry, market potential, industry development, specialty chemicals growth, market insights",1008,14000,14001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Specialty%20Chemicals%20_%20From%20Opportunity%20to%20Reality.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/124.webp,,
125,"Flavours, Fragrances and Nutraceutical Ingredients in India",2018,June,https://drive.google.com/file/d/1KzAADwfv0C--6IxBqb-86TxamsFDe70s/view?usp=sharing,"flavours, fragrances, nutraceuticals, Indian market, industry analysis, aroma industry, food additives, nutraceutical market, Indian industry, market insights",1008,14000,14002,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Flavours,%20Fragrances%20and%20Nutraceutical%20Ingredients%20in%20India.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/125.webp,,
126,Packaging 2.0 : Unboxing the E-Commerce Opportunity,2018,June,https://drive.google.com/file/d/1poU6c-foJgoWcMObT79zl_HQ7pupCeA9/view?usp=sharing,"packaging, e-commerce , ecommerce",1008,14000,14003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Packaging%202.0%20_%20Unboxing%20the%20E-Commerce%20Opportunity.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/126.webp,,
127,India goes Digital - A Birdseye View of the Indian Digital Consumer Industry,2011,Nov,https://drive.google.com/file/d/1vaPQ6UrquIh6ql7d6odB5OF367OjEEGM/view?usp=sharing,"online consumption, digital transformation, tech adoption, consumer behavior ",1008,5000,5004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/India%20goes%20Digital%20-%20A%20Birdseye%20View%20of%20the%20Indian%20Digital%20Consumer%20Industry.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/127.webp,,
128,"Indian Wealthtech –
A $60 Bn opportunity by FY25",2020,Dec,https://drive.google.com/file/d/1B6MExURq9loX-VVqaKU1Z1Vz_kCx-vzc/view?usp=sharing,"wealthtech, financial technology, investment opportunities, market forecast ,wealth management, fintech, investment trends, financial services",1003,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Indian%20Wealthtech%20%E2%80%93%20A%20$60%20Bn%20opportunity%20by%20FY25%20.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/128.webp,,
129,"Travel Market: India, SEA & GCC",2021,October,https://drive.google.com/file/d/1jjT2Rex6oX-R7iLDTU9mb1NGQmFjtWDW/view?usp=sharing,"tourism trends, travel destinations, hospitality industry, travel insights ",1003,5000,5012,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Travel%20Market%20Report%20%20India,%20SEA,%20GCC.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/129.webp,,
130,"Vernacular
is NOW, not
the future
A $300 Bn Opportunity Today",2019,July,https://drive.google.com/file/d/1efA2m-P4afSaxQkYH_kvU2iY2S3_WYaX/view?usp=sharing,"vernacular content, Indian languages, market potential, digital India, regional languages, language content, vernacular market, local content",1003,5000,5004,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Vernacular%20is%20NOW,%20not%20the%20future%20A%20$300%20Bn%20Opportunity%20Today.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/130.webp,,
131,"The Rise of US $50
Billion e-Baazar: A 360-degree view of the fast-growing
Indian E-tailing market",2018,July,https://drive.google.com/file/d/1MGNqO6-xAVm0FjFz1LVe5jE_tvOKytcN/view?usp=sharing,"e-Baazar, e-tailing market, Indian market, online shopping ,digital marketplace, e-commerce growth, online retail, market analysis, ecommerce",1003,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/The%20Rise%20of%20US%20$50%20Billion%20e-Baazar.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/131.webp,,
132,"Short-form video:
The rise of Made in India
digital content",2021,April,https://drive.google.com/file/d/1ByqMHuozbvn1TV7n__PP9Y7x-lEKKkfN/view?usp=sharing,"short-form video, digital content, Indian creators, content creation video sharing, social media, digital entertainment, content trends",1003,19000,19003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/The-rise-of-Made-in-India-digital-content.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/132.webp,,
133,The cost of being unhealthy: Perspective on productivity loss due to lifestyle choices.,2019,March,https://drive.google.com/file/d/1InO3RNYWq-4QhwCNGvJ1Alkzly33MSKT/view?usp=sharing,"unhealthy lifestyle, productivity loss, health impact, lifestyle choices wellness perspective, health habits, lifestyle impact, productivity challenges",1003,10000,10003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/The%20cost%20of%20being%20unhealthy%20RedSeer%20perspective%20on%20productivity%20loss%20due%20to%20lifestyle%20choices..pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/133.webp,,
134,Stepping Into India’s Footprint,2018,December,https://drive.google.com/file/d/1d_b2Vm5Ri4CqmE9JyjkPeD-0O-CCFhxO/view?usp=sharing,"India market, business opportunities, market entry, India strategy business expansion, market penetration, Indian market, growth prospects",1003,18000,18001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Stepping%20Into%20India%E2%80%99s%20Footprint.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/134.webp,,
135,State of the Online Cabs Market,2017,May,https://drive.google.com/file/d/1aAXrm5bjLCmO60v4YEH09btw0Qo1hFRE/view?usp=sharing,"online cabs, transportation, market analysis, ride-hailing taxi industry, mobility services, online transportation, ride-sharing trends",1003,5000,5013,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/State%20of%20the%20Online%20Cabs%20Market.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/135.webp,,
136,State of e-tailing in India,2017,May,https://drive.google.com/file/d/1WWzmXPTZVj0r8UtKt3C6C_DM6qOYrWY_/view?usp=sharing,"e-tailing market, Indian market, online retail, market overview, online shopping, e-commerce trends, digital retail, market insights, ecommerce, e-commerce",1003,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/State%20of%20e-tailing%20in%20India.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/136.webp,,
137,State of E-logistics in India,2017,May,https://drive.google.com/file/d/1Jib3uUB5lmpHgShBaKbgJ22twZr1ynfJ/view?usp=sharing,"e-logistics, logistics industry, India market, supply chain,  delivery services, transportation trends, logistics infrastructure, shipping industry, ecommerce delivery, delhivery",1003,5000,5010,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/State%20of%20E-logistics%20in%20India.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/137.webp,,
138,"Indian Shortform
video : Ready to
leapfrog towards
monetization?",2021,Oct,https://drive.google.com/file/d/18-DGf3Kw9QJc_irf5-_XoN3IUF2BFtov/view?usp=sharing,"shortform video, Indian content creators, content monetization, video platforms, video monetization, short content, digital creators, content earning",1003,19000,19003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Short%20form%20Video-%20leapfrog.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/138.webp,,
139,"Short form: Rising amidst
cluttered content
space
Short-form:",2020,Feb,https://drive.google.com/file/d/1Fo7nIpCzo1u6cXvHcbTztDPOnt0jc9Is/view?usp=sharing,"short-form content, content creation, digital clutter, content trends,  micro-content, content saturation, digital noise, short-form challenges",1003,19000,19003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Rising%20amidst%20cluttered%20content%20space%20Short-form-.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/139.webp,,
140,"Indian ShortForm
Apps – Catching up to
Global Players",2023,Feb,https://drive.google.com/file/d/1aYNdIJ1Avf4iNDNjs--q9EAKi0EUrim-/view?usp=sharing,"shortform apps, Indian apps, mobile applications, app market, app development, digital platforms, mobile apps, app trends",1003,19000,19003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Indian%20ShortForm%20Apps%20%E2%80%93%20Catching%20up%20to%20Global%20Players.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/140.webp,,
141,Shopping goes Global- $10 Bn Opportunity for MENA Retailers,2023,August,https://drive.google.com/file/d/1Q0yGVw_W-ulEfGEF8ojxBE6CZE7T7hWG/view?usp=sharing,"global shopping trends, MENA retail market, retail expansion opportunities,  Middle East retail growth, global retailing, retail market expansion",1003,5000,5014,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/shopping%20goes%20social%20-$10%20Bn%20opportunity%20for%20MENA%20retailers%20.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/141.webp,,
142,SEA Fintech Report,2022,January,https://drive.google.com/file/d/1zf8MgWpMf1GSRTl2Ij8HJVgv7nHmPZVy/view?usp=sharing,"Southeast Asia fintech, fintech industry SEA, financial technology trends, ASEAN fintech, Southeast Asian financial services, digital finance report",1003,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/SEA%20fintech%20report%20.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/142.webp,,
143,"Digital Disruption:
UAE is shaping the future
of business- Gateway to $1.5Tn MENA Consumer Spending",2023,September,https://drive.google.com/file/d/1slqJ8xlR2vJTXHgIC9K280r4l66tjVjs/view?usp=sharing,"digital disruption, UAE market, MENA region, business trends,  Middle East business, tech innovation, digital transformation, market insights",1003,5000,5015,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Digital%20Disruption-%20UAE%20is%20shaping%20the%20future%20of%20business.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/143.webp,,
144,Retail Technology -The Next Frontier,2019,June,https://drive.google.com/file/d/1xP0EbgxwXtgTvXcPyhEv3dkLucJ6mzDD/view?usp=sharing,"retail tech, future of retail, technology in retail, digital retail innovations, retail industry tech trends, future retail technologies",1003,18000,18003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Retail%20Technology%20-%20The%20Next%20Frontier.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/144.webp,,
145,"Rehab Tech:
Improving Quality
of Life",2023,January,https://drive.google.com/file/d/1DhrooTO9Kc8eXq2yHp8pVlTuf1pNO0nw/view?usp=sharing,"rehab tech, healthcare technology, medical innovation, quality of life,  medical rehabilitation, assistive devices, healthcare solutions, patient care, health-tech, healthtech",1003,5000,5016,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Rehab%20Tech-%20Improving%20Quality%20of%20Life.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/145.webp,,
146,Inc42's 100 Unicorn Report 2022.,2022,,https://drive.google.com/file/d/1a0Zay9lsji6aeWgCzM6YM66mPdUegNjm/view?usp=sharing,"Inc42, unicorn startups, Indian startups, investment trends, billion-dollar startups, startup ecosystem, tech unicorns, startup investments",1009,22000,22006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20100%20Unicorn%20Report%202022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/146.webp,,
147,Inc42's Annual Funding Report 2022.,2022,,https://drive.google.com/file/d/1jiQR8Rl-n0F-yGIfztrWP86awTmu8Weo/view?usp=sharing,"Inc42, funding trends, startup investments, Indian market venture capital, fundraising, startup ecosystem, investment analysis",1009,22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Annual%20Funding%20Report%202022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/147.webp,,
148,Inc42's Annual Funding Report 2023,2023,,https://drive.google.com/file/d/1051AVh-7hRfUkwfgg12gVCJ_zrP5ZKQU/view?usp=sharing,"Inc42 funding analysis, funding rounds India, capital raising trends,  venture funding report, startup finance overview, annual investment analysis",1009,22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Annual%20Funding%20Report%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/148.webp,,
149,Inc42's Consumer Internet Report Q2 2022 (Online Gaming),2022,,https://drive.google.com/file/d/1m31fWntb3XOXouJi5oVn-qgKdJEji-Q_/view?usp=sharing,"Inc42 internet report, online gaming trends, digital gaming market,  gaming industry insights, online games report, gaming sector analysis, game",1009,5000,5001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Consumer%20Internet%20Report%20Q2%202022%20(Online%20Gaming).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/149.webp,,
150,Inc42's Consumer Internet Report Q3 2022 (Super Apps),2023,,https://drive.google.com/file/d/1pIcJnvFPqDIPHVPjVXF_4L12YFWZXNB9/view?usp=sharing,"Inc42 internet trends, super app market, all-in-one apps,  digital platform report, multi-service apps, app ecosystem analysis, superapp",1009,5000,5017,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Consumer%20Internet%20Report%20Q3%202022%20(Super%20apps).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/150.webp,,
151,Inc42's Decoding India's Unicorn Club Report 2023,2023,,https://drive.google.com/file/d/1XA0U6_zjD88qt8_8BXkMWJOdByghT4nA/view?usp=sharing,"India unicorn report, billion dollar startups India, top Indian unicorns,  high-value startups India, unicorn companies report, billion dollar firms",1009,22000,22006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Decoding%20India_s%20Unicorn%20Club%20Report%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/151.webp,,
152,Inc42's Fintech Report Q2 2022 (Insurtech),2022,,https://drive.google.com/file/d/1tDiBRWaXt79_rfyR3WaEaN31ixgXgYf9/view?usp=sharing,"Inc42 fintech report, insurance technology trends, Insurtech market, insurance tech report, Insurtech insights, digital insurance trends, insurance",1009,16000,16001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Fintech%20Report%20Q2%202022%20(Insurtech).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/152.webp,,
153,Inc42's Indian Tech Startup Funding Report H1 2023,2023,,https://drive.google.com/file/d/13Oo-kSgcl3q0N3xOAO3IN_HxFAQcWOn8/view?usp=sharing,"Inc42 tech funding, Indian startup funding, tech investment,  India technology startups finance, early-stage funding report, startup capital India",1009,22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Indian%20Tech%20Startup%20Funding%20Report%20H1%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/153.webp,,
154,Inc42's Investor Landscape Report 2023,2023,,https://drive.google.com/file/d/17_Wez-j88Mr3t1QU7gfqfDV1rHdL2ZPg/view?usp=sharing,"investor landscape, investment trends, funding analysis, 2023 report,venture capital, investment insights, funding patterns, financial trends",1009,22000,22006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Investor%20Landscape%20Report%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/154.webp,,
155,Inc42's Kerala Startup Ecosystem Report 2022,2022,,https://drive.google.com/file/d/1e8vh1BaVFwjCgwr9uCWZexDLK9bSMN8t/view?usp=sharing,"Kerala startups, startup ecosystem, regional analysis, 2022 report,local startups, entrepreneurial landscape, regional business, startup growth",1009,22000,22006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Kerala%20Startup%20Ecosystem%20Report%202022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/155.webp,,
156,Inc42's Q1 2023 Ecommerce Report (Omnichannel),2023,,https://drive.google.com/file/d/1ZNWJfcV3eRr0Nt-vYBps90tcC3DB6VqJ/view?usp=sharing,"ecommerce, omnichannel, Q1 2023, market trends,online retail, multichannel commerce, ecommerce insights, retail trends",1009,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Q1%202023%20Ecommerce%20Report%20(Omnichannel).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/156.webp,,
157,Inc42's Q1 2023 Funding Report,2023,,https://drive.google.com/file/d/1AZIrfRX95MF3m2mwnj-ccr6UdwDb_G4x/view?usp=sharing,"funding trends, Q1 2023, startup investments, financial report,venture capital, investment analysis, funding insights, startup financing",1009,22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Q1%202023%20Funding%20Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/157.webp,,
158,Inc42's Q3 2022 Funding Report,2022,,https://drive.google.com/file/d/1TpOxfPtsibCG6wfRUuUhSfC5WpObxtwZ/view?usp=sharing,"funding trends, Q3 2022, investment analysis, financial report,venture capital, funding insights, startup investments, market trends",1009,22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Q3%202022%20Funding%20Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/158.webp,,
159,Inc42's Q4 2022 Fintech Report (Lending Tech),2022,,https://drive.google.com/file/d/1LIq27BnLbSeALZyk5ZTseHDZ2Izu7Crc/view?usp=sharing,"fintech, lending tech, Q4 2022, financial technology,digital lending, fintech trends, financial services, lending platforms",1009,9000,9003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Q4%202022%20Fintech%20Report%20(Lending%20Tech).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/159.webp,,
160,Inc42's State Of Indian Startup Ecosystem Report 2022,2022,,https://drive.google.com/file/d/1XrAaKUX1Y4jTtE5hhpkJXQggfLYK_BtU/view?usp=sharing,"startup ecosystem, India startups, 2022 report, market analysis,entrepreneurial landscape, startup trends, business insights, market overview",1009,22000,22006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20State%20Of%20Indian%20Startup%20Ecosystem%20Report%202022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/160.webp,,
161,Inc42's State Of Indian Startup Ecosystem Report 2023,2023,,https://drive.google.com/file/d/1QCAXjsPJHQLrR9435agMhecj3ho9nTn2/view?usp=sharing,"startup ecosystem, India startups, 2023 report, market analysis,entrepreneurial landscape, startup trends, business insights, market overview",1009,22000,22006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20State%20Of%20Indian%20Startup%20Ecosystem%20Report%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/161.webp,,
162,Inc42's Top 200 Startups Financial Index Report,2023,,https://drive.google.com/file/d/1Ihd57xliztKaGi5gMCA7z3dOp5uAQlS9/view?usp=sharing,"top startups, financial index, startup analysis, market trends,startup performance, financial health, business insights, market evaluation",1009,22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Inc42_s%20Top%20200%20Startups%20Financial%20Index%20Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/162.webp,,
163,Indian Spacetech Startup Landscape  & Market Opportunity Report 2023,2023,,https://drive.google.com/file/d/1ovK1ofz9NicADDaepPgDR3fRjnXNNMrQ/view?usp=sharing,"spacetech, startup landscape, 2023 report, market opportunity,space industry, satellite startups, market insights, business opportunities",1009,21000,21001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/INDIAN%20SPACETECH%20STARTUP%20LANDSCAPE%20%20&%20MARKET%20OPPORTUNITY%20REPORT%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/163.webp,,
164,Indian Tech Startup Funding Report Q3 2023,2023,,https://drive.google.com/file/d/1lJBK7ztFBQyGZcu0O3jZ_-Gswa-UKbQs/view?usp=sharing,"tech startups, funding report, Q3 2023, investment trends,venture capital, startup investments, tech funding, financial analysis",1009,22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/INDIAN%20TECH%20STARTUP%20FUNDING%20REPORT%20Q3%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/164.webp,,
165,Indias Drone Tech Startup Landscape Report,2024,,https://drive.google.com/file/d/1Tok0jXJdUgXj62tJCuthQFWto6-xMfRA/view?usp=sharing,"drone technology, startups, market analysis, industry trends,UAV startups, drone industry, tech innovation, market insights",1009,21000,21002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/INDIAS%20DRONE%20TECH%20STARTUP%20LANDSCAPE%20REPORT.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/165.webp,,
166,Indias Generative AI Landscape Report 2023,2023,,https://drive.google.com/file/d/1u5G-a7inb_XQYCdYI5dmorfNqMGZiTpW/view?usp=sharing,"generative AI, startup landscape, 2023 report, AI trends,artificial intelligence, AI startups, tech innovation, market analysis, gen AI",1009,3000,3004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/INDIAS%20GENERATIVE%20AI%20LANDSCAPE%20REPORT%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/166.webp,,
