Serial No.,Name of the report,Year,Released Month,Author/Company,Sector,Sub-sector,CDN Report Link,Thumbnail Links- New,,
164,Indian Tech Startup Funding Report Q3 2023,2023,,Inc42,Venture Capital & Private Equity,Funding Trends,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/INDIAN%20TECH%20STARTUP%20FUNDING%20REPORT%20Q3%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/164.webp,,
165,Indias Drone Tech Startup Landscape Report,2024,,Inc42,Space & Aerospaces,Drone tech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/INDIAS%20DRONE%20TECH%20STARTUP%20LANDSCAPE%20REPORT.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/165.webp,,
166,Indias Generative AI Landscape Report 2023,2023,,Inc42,AI & Deeptech,Gen AI,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/INDIAS%20GENERATIVE%20AI%20LANDSCAPE%20REPORT%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/166.webp,,
167,State Of The Indian Ecommerce- Cross Border Ecommerce,2023,,Inc42,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Q2%20Ecommerce%20REPORT_v10%20(1).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/167.webp,,
168,"State Of Ecommerce In India, Q2 2022 (Vertical Marketplaces)",2022,,Inc42,Consumer Tech,Ecommerce,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/State%20Of%20Ecommerce%20In%20India,%20Q2%202022%20(Vertical%20Marketplaces).pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/168.webp,,
169,"State Of Ecommerce In India, Q3 2022 (D2C)",2022,,Inc42,Consumer Tech,D2C,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/State%20Of%20Ecommerce%20In%20India,%20Q3%202022%20(D2C).pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/169.webp,,
170,"State Of Indian Ecommerce, Q4 2022 (Festival Sales)",2022,,Inc42,Consumer Tech,Ecommerce,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/State%20Of%20Indian%20Ecommerce,%20Q4%202022%20(Festival%20Sales).pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/170.webp,,
171,State Of Indian Fintech Report Q1 2023 (B2B Lending),2023,,Inc42,Financial Services,Fintech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/State%20Of%20Indian%20Fintech%20Report%20Q1%202023%20(1).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/171.webp,,
172,State Of Indian Fintech Report Q3 2023 (Consumer Lending),2023,,Inc42,Financial Services,Fintech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/STATE%20OF%20INDIAN%20FINTECH%20REPORT%20Q3%202023%20(Consumer%20Lending).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/172.webp,,
173,State Of Indian Fintech Report Q4 2023 (Rural Fintech),2023,,Inc42,Financial Services,Fintech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/STATE%20OF%20INDIAN%20FINTECH%20REPORT%20Q4%202023%20(Rural%20Fintech).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/173.webp,,
174,"State Of Indian Fintech Report, Q3 2022 (Neobanks)",2022,,Inc42,Financial Services,Fintech,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/State%20Of%20Indian%20Fintech%20Report,%20Q3%202022%20(Neobanks).pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/174.webp,,
175,State Of Rajasthan Startup Ecosystem Report 2023,2023,,Inc42,Venture Capital & Private Equity,Startup ecosystem,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/STATE%20OF%20RAJASTHAN%20STARTUP%20ECOSYSTEM%20REPORT%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/175.webp,,
176,State Of The Indian Ecommerce Q3-2023 (Tier 2 Markets),2023,,Inc42,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/STATE%20OF%20THE%20INDIAN%20Ecommerce%20Q3-2023%20(Tier%202%20Markets).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/176.webp,,
177,State Of The Indian Ecommerce Q4-2023 ( Online Festival Sales),2023,,Inc42,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/STATE%20OF%20THE%20INDIAN%20Ecommerce%20Q4-2023%20(%20Online%20Festival%20sales).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/177.webp,,
178,State Of The Indian Fintech Report Q2 2023 (Cross Border Payments),2023,,Inc42,Financial Services,Fintech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/STATE%20OF%20THE%20INDIAN%20FINTECH%20REPORT%20Q2%202023%20(Cross%20border%20payments).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/178.webp,,
179,The Future Of Edtech In India Decoding The $29 Bn Market Opportunity,2023,,Inc42,Consumer Tech,Edtech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/THE%20FUTURE%20OF%20EDTECH%20IN%20INDIA%20Decoding%20The%20$29%20Bn%20Market%20Opportunity.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/179.webp,,
180,"India’s Online Packaged Food, Beverages, Personal Care And Home Utilities Consumer Goods Report ",2019,,Redseer,Consumer Tech,Ecommerce,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/India%E2%80%99s%20Online%20Packaged%20Food,%20Beverages,%20Personal%20Care%20And%20Home%20Utilities%20Consumer%20Goods%20Report%20.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/180.webp,,
181,State Of Preventive Health In India ,2022,July,Redseer,Healthcare,Preventive Care,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/State%20Of%20Preventive%20Health%20In%20India%20.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/181.webp,,
182,Decoding The Upcoming Online Sales Extravganza ,2022,March,Redseer,Venture Capital & Private Equity,Startup ecosystem,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/DECODING%20THE%20UPCOMING%20SALES%20EXTRAVGANZA.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/182.webp,,
183,"Changing Habits , Evolving Patterns ",2023,March,Redseer,Consumer Tech,Ecommerce,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Changing%20Habits%20,%20Evolving%20Patterns%20.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/183.webp,,
184,Real Money Gaming: India’s New Playground,2020,,Redseer,Consumer Tech,Gaming,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Real%20Money%20Gaming-%20India%E2%80%99s%20New%20Playground.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/184.webp,,
185,Indonesia Ecommerce Metamorphosis In A Post Covid World,2021,,Redseer,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Indonesia%20Ecommerce%20Metamorphosis%20In%20A%20Post%20Covid%20World.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/185.webp,,
186,"Report On Market For "" Higher Education Abroad """,2021,,Redseer,Consumer Tech,Edtech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Report%20On%20Market%20For%20%22%20Higher%20Education%20Abroad%20%22.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/186.webp,,
187,Consumer Internet In Indonesia,2022,Feb,Redseer,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Consumer%20Internet%20In%20Indonesia.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/187.webp,,
188,Black Friday $6Bn Online Shopping Event,2021,Oct,Redseer,Venture Capital & Private Equity,Startup ecosystem,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Black%20Friday%20$6Bn%20Online%20Shopping%20Event.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/188.webp,,
189,Mena Digital Economy: On The Cusp Of A Digital Revolution,2022,Aug,Redseer,Venture Capital & Private Equity,Startup ecosystem,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Mena%20Digital%20Economy-%20On%20The%20Cusp%20Of%20A%20Digital%20Revolution.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/189.webp,,
190,Do Green Deals Create Value?,2022,,BCG,Climate & Sustainability,ESG,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BCG/green-dealmaking-helps-create-value.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/190.webp,,
191,Green Deals Gain Steam,2022,,BCG,Climate & Sustainability,ESG,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BCG/green-deals-on-the-rise-according-to-the-latest-mergers-and-acquisitions-report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/191.webp,,
192,DSG Consumer Partners 2024 Sustainability Report,2024,,DSG Consumer Partners,Climate & Sustainability,ESG,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/DSG/DSGC%202024%20SUSTAINABILITY%20REPORT%20.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/192.webp,,
193,"The Balancing Act
DSG Consumer Partners Sustainability Report FY2022",2022,,DSG Consumer Partners,Climate & Sustainability,ESG,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/DSG/The%20Balancing%20Act%20DSG%20Consumer%20Partners%20Sustainability%20Report%20FY2022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/193.webp,,
194,Code to Credit - A thesis on Digital Lending in India,2024,,Eximus Ventures,Financial Services,Lending,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Eximus/Code-to-Credit_Digital-Lending-Thesis_updated.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/194.webp,,
195,Playing to Win- A thesis on Indian Online Gaming,2024,,Eximus Ventures,Consumer Tech,Gaming,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Eximus/Playing-to-Win-A-thesis-on-Indian-Online-Gaming-download.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/195.webp,,
196,Q-4 2020 E-Commerce Trends Report- Kearney and Unicommerce,2020,,Kearney,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/KEARNEY/Q4%20Trends%20Report%202020.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/196.webp,,
197,"Regenerative talent pools- The 2023 Kearney Global
Services Location Index",2023,,Kearney,IT & Outsourcing,Global Services Delivery,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kearney/Regenerative%20talent%20pools--The%202023%20Kearney%20Global%20Services%20Location%20Index.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/197.webp,,
198,The 2021 Kearney Global Services Location Index,2021,,Kearney,IT & Outsourcing,Global Services Delivery,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kearney/The%202021%20Kearney%20Global%20Services%20Location%20Index%E2%80%94Toward%20a%20global%20network%20of%20digital%20hubs.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/198.webp,,
199,Stride Ventures- India Venture Debt Report 2024,2024,,Stride Ventures,Financial Services,Venture Debt,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/StrideVentures/Stride%20Debt%20Venture%20Report%202024.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/199.webp,,
200,Stride Ventures- India Venture Debt Report 2022,2022,,Stride Ventures,Financial Services,Venture Debt,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/StrideVentures/Stride+Ventures+India+Debt+Report+2022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/200.webp,,
201,Stride Ventures- India Venture Debt Report 2023,2023,,Stride Ventures,Financial Services,Venture Debt,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/StrideVentures/Stride%20Debt%20Venture%20Report%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/201.webp,,
202,Amazon Playbook by Fireside Ventures,2023,AUG,Fireside ventures,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FiresideVentures/AMAZONPLAYBOOK,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/202.webp,,
203,Bigbasket Playbook by Fireside Ventures,2023,JAN,Fireside ventures,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FiresideVentures/BigbasketPlaybook,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/203.webp,,
204,10 Breakout trends in Beauty & Personal care,2023,,Fireside ventures,Consumer Tech,Beauty & Personal care,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FiresideVentures/Beauty_Personal_Care.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/204.webp,,
205,Know the Indian Consumer,2023,,Fireside ventures,Consumer Tech,Indian Consumer,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FiresideVentures/consumer_report_takeaways.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/205.webp,,
206,D2C Funnel Building- D2C Playbook,2023,aug,Fireside ventures,Consumer Tech,D2C,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FiresideVentures/D2C%20Funnel%20Building-%20India,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/206.webp,,
207,"Building Purposeful and
Iconic Brands: Fireside Venture ESG Report",2023,mar,Fireside ventures,Climate & Sustainability,ESG,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FiresideVentures/Building%20Purposeful%20and%20Iconic%20Brands,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/207.webp,,
208,5 Trends to bite into: Food & Beverages Takeaway,2023,,Fireside ventures,Consumer Tech,D2C,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FiresideVentures/Food_Beverages.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/208.webp,,
209,Game of Stones: The stellar appeal of lab grown diamond,2023,,Fireside ventures,Jewelry,Lab grown jewelry,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FiresideVentures/Game%20of%20%20Stones,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/209.webp,,
210,Getting inside your head- Mental Health Report,2023,,Fireside ventures,Healthcare,Mental Health,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FiresideVentures/Getting%20inside%20your%20head.,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/210.webp,,
211,"So much 
plastic- Sustainability Report",2023,,Fireside ventures,Climate & Sustainability,Circular Economy,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FiresideVentures/So%20much%20plastic.,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/211.webp,,
212,"Responsible Investment Policy: Integrating Environment, Social and
Governance Practices",2023,,Fireside ventures,Climate & Sustainability,ESG,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FiresideVentures/Responsible_Investment_Policy_FSV.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/212.webp,,
213,Building the Value of Good: A Primer for Responsible Startups,2023,,Fireside ventures,Climate & Sustainability,Circular Economy,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FiresideVentures/building%20the%20value%20of%20good%20,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/213.webp,,
